Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
scene2_c3d1c71c	"?"	Xin chào kí chủ, tôi là Hệ Thống mang số hiệu 07. Vô cùng hân hạnh được đồng hành cùng bạn~	game/scene2.rpy	200	"?" "[what]"
scene2_2b35b6fe_1	mc	...	game/scene2.rpy	202	mc "[what]"
scene2_60b411e3	mc	Đây là flycam công nghệ mới hả?	game/scene2.rpy	203	mc "[what]"
scene2_d3e68f37	mc	Trời ơi mình chưa từng thấy cái này bao giờ luôn, hiện đại thật đó.	game/scene2.rpy	204	mc "[what]"
scene2_66acf0f1	mc	Mà này, camera ở đâu vậy? Tuy tôi chỉ là một streamer nhỏ bé, nhưng thuê tôi tham gia quay chương trình thử thách cũng phải trả tiền phí hình ảnh và cachet đầy đủ cho tôi đấy nhé!	game/scene2.rpy	205	mc "[what]"
scene2_fb5ce4c7	num7	...	game/scene2.rpy	207	num7 "[what]"
scene2_6c251f32	mc	Các bạn định bắt tôi đi làm không công sao, không được đâu! Tôi không thể hít khí trời uống nước lã mà sống được! Các người có còn lương tâm không vậy?!!	game/scene2.rpy	209	mc "[what]"
scene2_3a2fc2ae	num7	Tôi--	game/scene2.rpy	211	num7 "[what]"
scene2_2db75c07	mc	Được được được, tôi sẽ giảm 10% cho các cậu. Haizzz, số tôi khổ quá đi mà!	game/scene2.rpy	213	mc "[what]"
scene2_c65d2607	num7	Không...	game/scene2.rpy	216	num7 "[what]"
scene2_dd78278f	mc	ĐỪNG MÀ! Thôi được rồi, chỉ cần một nửa so với giá thị trường là được!! Không thể ít hơn được nữa!!!	game/scene2.rpy	218	mc "[what]"
scene2_5e205f23	num7	AAAAAAAAAAAAAAAAAA	game/scene2.rpy	222	num7 "[what]"
scene2_492781ef	num7	BẠN CÓ THÔI NGAY KHÔNG HẢ!!! CÁI THÓI XẤU THÍCH NHẢY VÀO MIỆNG KHÔNG ĐỂ NGƯỜI TA NÓI HẾT CÂU NÀY LÀ DI TRUYỀN TỪ AI VẬY?????	game/scene2.rpy	223	num7 "[what]"
scene2_dba5a0da	mc	...Xin lỗi...	game/scene2.rpy	225	mc "[what]"
scene2_3c6594a4	num7	Hứ!!	game/scene2.rpy	227	num7 "[what]"
scene2_5b75302e	num7	Thứ nhất, đây không phải phim trường, cũng không phải đang quay chương trình thử thách hay troll gì đó đâu.	game/scene2.rpy	228	num7 "[what]"
scene2_ffddcc43	num7	Thứ hai, tôi không phải người keo kiệt muốn trâu đi cày mà không cho trâu ăn. Tôi nhất định sẽ không bạc đãi bạn.	game/scene2.rpy	230	num7 "[what]"
scene2_26c8a7cf	num7	Và thứ ba, TÔI KHÔNG PHẢI FLYCAM! TÔI LÀ 07!!!!!!	game/scene2.rpy	232	num7 "[what]"
scene2_6364a8b2	mc	Tôi hiểu rồi, vậy bây giờ tôi phải làm gì? Đây là đâu?	game/scene2.rpy	235	mc "[what]"
scene2_1170fbd4	num7	Đây là thế giới trong game 'No way out' mà bạn đã chơi.	game/scene2.rpy	238	num7 "[what]"
scene2_e007fe42	mc	!!!!	game/scene2.rpy	240	mc "[what]"
scene2_229abda2	num7	Chắc bạn cũng đã nghe qua rằng đây là tựa game mới ra mắt có tích hợp tính năng AI khiến các NPC trong trò chơi có tri giác và có thể tự suy nghĩ, hành động theo ý muốn của mình đúng không?	game/scene2.rpy	242	num7 "[what]"
scene2_8dac7093	num7	Đây là một bước tiến mới trong công nghệ. Tuy nhiên, chính vì trí tuệ AI tự phát mà thế giới này đã xuất hiện một số bug khiến cho quỹ đạo thế giới dần mất kiểm soát.	game/scene2.rpy	243	num7 "[what]"
scene2_73ed87a5	num7	Các kết cục ban đầu và quy tắc thế giới được lập trình sẵn dần dần bị sụp đổ, dường như nó muốn tách ra làm một thế giới riêng biệt không chịu sự kiểm soát của lập trình nữa.	game/scene2.rpy	244	num7 "[what]"
scene2_bf6e7d58	mc	Oaaa...	game/scene2.rpy	246	mc "[what]"
scene2_c1dff962	mc	Oh...	game/scene2.rpy	247	mc "[what]"
scene2_afd23907	mc	Tôi có thể về nhà không, tôi vẫn chưa ấn nút nồi cơm...	game/scene2.rpy	248	mc "[what]"
scene2_6daebb99	num7	Không cần thiết, trước khi đưa bạn đến đây tôi đã tiện thể giúp bạn rồi.	game/scene2.rpy	250	num7 "[what]"
scene2_24664fde	mc	Nhưng mà nếu tôi đi lâu như thế gia đình tôi sẽ rất lo lắ-	game/scene2.rpy	252	mc "[what]"
scene2_0fddfbf2	num7	Không sao, khi bạn bước vào thế giới này thì ở bên ngoài thời gian của bạn đã được đóng băng lại rồi. Bạn có thể ở lại đây bao lâu cũng được~	game/scene2.rpy	254	num7 "[what]"
scene2_c3da3c78	mc	Nhưn-	game/scene2.rpy	256	mc "[what]"
scene2_c4ae7ae5	num7	Không có nhưng nhị gì hết!	game/scene2.rpy	259	num7 "[what]"
scene2_3e69990e	mc	...Tôi có thể ngất được không?	game/scene2.rpy	261	mc "[what]"
scene2_540af350	num7	Cũng được thôi, nhưng tôi nói trước cho bạn biết thế giới này không an toàn đâu.	game/scene2.rpy	264	num7 "[what]"
scene2_ebd970ae	num7	Vì đây là game kinh dị, nên có thể một lát nữa sẽ có một gã kì quặc nào đó nhảy ra muốn dùng dao giải phẫu cậu đó nha~~	game/scene2.rpy	265	num7 "[what]"
scene3_cbb7949a	"?"	Này nhóc kia !!!	game/scene3.rpy	12	"?" "[what]"
scene3_3fda6022	mc	??!!!	game/scene3.rpy	13	mc "[what]"
scene3_d3bdc16c	num7	?????!!!!!!!!!!	game/scene3.rpy	18	num7 "[what]"
scene3_fedf543b		Không gian yên ắng bỗng chốc có người cất tiếng khiến bạn và 07 giật thót, có vẻ như giọng nói phát ra từ cánh cửa sắt đằng kia.	game/scene3.rpy	21	"[what]"
on_inform_paper_inspect_774f929b		inform	game/scene3.rpy	73	"[what]"
on_rule_paper_inspect_135ce4c7		rules	game/scene3.rpy	86	"[what]"
on_honor_paper_inspect_96c1f272		honor	game/scene3.rpy	98	"[what]"
approach_door_f6aebbff		Đối diện bạn là một cánh cửa sắt như nhà giam tù nhân bị khóa, phía lỗ bên trên tối om chỉ xuất hiện một đôi mắt khiến bạn không nhìn rõ diện mạo người bên trong.	game/scene3.rpy	213	"[what]"
approach_door_bf8b3559		Khi tiếp xúc gần có thể cảm nhận mùi rất khó ngửi, có vẻ nhiều ngày rồi anh ta không tắm.	game/scene3.rpy	214	"[what]"
approach_door_4a0ce2b0	man	Chân của anh đây sắp rụng ra rồi, nhóc có thể giúp anh lấy kim chỉ được không?	game/scene3.rpy	220	man "[what]"
approach_door_3929c7ef	num7	Oa, trông ông anh này thật khả nghi, chắc chắn là có ý đồ khác!	game/scene3.rpy	225	num7 "[what]"
approach_door_4cb05833	mc	Sao anh không tự đi lấy đi?	game/scene3.rpy	228	mc "[what]"
approach_door_ea5ef612	man	Cửa bị khóa rồi, anh không ra được. Nhóc giúp anh đi mà~	game/scene3.rpy	231	man "[what]"
approach_door_43f3a5ba	man	Nhóc đã tìm thấy kim chỉ chưa ?	game/scene3.rpy	241	man "[what]"
leave_man_291702f6	man	Ấy đừng đi mà! Không phải nhóc đang muốn tìm cách vào cái phòng kia sao?	game/scene3.rpy	261	man "[what]"
leave_man_a7a13098	mc	Sao anh biết?	game/scene3.rpy	263	mc "[what]"
leave_man_f596bb42	man	Nãy giờ thấy nhóc loanh quanh đây tìm cái gì đó rồi lại nghiên cứu cánh cửa đằng kia, anh đây có chìa khóa đó~	game/scene3.rpy	266	man "[what]"
leave_man_8c8cbeb4	num7	Hình như tôi thấy anh ta rất đáng tin đó, hay là cậu giúp người ta đi, dù sao cũng chỉ là lấy kim chỉ thôi mà.	game/scene3.rpy	271	num7 "[what]"
leave_man_6657f41d	mc	....Thôi được rồi.	game/scene3.rpy	273	mc "[what]"
help_man_d836a6a1		Bạn tìm được kim chỉ và đưa cho người đàn ông.	game/scene3.rpy	277	"[what]"
help_man_42755b91	man	Haha cảm ơn nhóc nhé.	game/scene3.rpy	279	man "[what]"
help_man_a8a096b6	mc	Đưa chìa khóa cho tôi.	game/scene3.rpy	281	mc "[what]"
help_man_5c491269	man	Đây đây, làm gì mà nóng vội thế~	game/scene3.rpy	282	man "[what]"
help_man_4eef0fbd	mc	Nhân tiện thì làm cách nào mà anh có chìa khóa phòng đó vậy, không phải anh bị nhốt ở đây à?	game/scene3.rpy	319	mc "[what]"
help_man_943df279	man	Của tên bác sĩ đó làm rơi đấy, anh định giấu đi trả thù hắn.	game/scene3.rpy	320	man "[what]"
help_man_31588ff5	mc	Ồ.	game/scene3.rpy	322	mc "[what]"
help_man_ea820437	man	Nói cho nhóc biết, hắn thật sự là một tên điên cuồng giải phẫu.	game/scene3.rpy	323	man "[what]"
help_man_42f54c7e	man	Lần trước hắn đến đây mượn cơ thể anh đây để nghiên cứu, xong việc lại nhốt anh trong căn phòng này mà quên luôn.	game/scene3.rpy	324	man "[what]"
help_man_cd03c59d	man	Đến lúc nhớ ra hắn còn chê anh bốc mùi không muốn đụng đến nữa, tên khốn kiếp OCD @#$#@%^!$	game/scene3.rpy	326	man "[what]"
help_man_7a59b594	mc	Ahaha...	game/scene3.rpy	328	mc "[what]"
help_man_50a916b1	man	Dù sao cũng cảm ơn nhóc nhé.	game/scene3.rpy	329	man "[what]"
onPcClick_e8ab1510	anon	Chào đại thần, em đã là fan của ngài rất lâu rồi.	game/script.rpy	40	anon "[what]"
onPcClick_bcaa830b	anon	Vậy nên em rất muốn đại thần chơi thử game mới này.	game/script.rpy	41	anon "[what]"
onPcClick_388084d1	anon	Đường link tải game em để ở đây nhé, hi vọng sớm được thấy đại thần chơi game này trên stream!	game/script.rpy	42	anon "[what]"
onPcClick_d3fd93f3	anon	Yêu đại thần rất nhiều <3	game/script.rpy	43	anon "[what]"
onPcClick_1b269d78		Sau khi đọc qua mô tả trò chơi và kiểm tra đường link an toàn, bạn đã yên tâm bấm tải game.	game/script.rpy	45	"[what]"
onPcClick_da2bca05	mc	Có vẻ như là cái game mới nổi gần đây, nghe nói rất thú vị.	game/script.rpy	47	mc "[what]"
onPcClick_6837541b	mc	Xem lượt đánh giá cũng rất tích cực.	game/script.rpy	48	mc "[what]"
onPcClick_710fb1f7	mc	(Tuy rằng muốn để dành stream lần đầu cho mọi người cùng xem, nhưng tự nhiên mình có chút háo hức. Chắc mình sẽ ngó qua một chút...)	game/script.rpy	50	mc "[what]"
onPcClick_af0bbdf6		Sau khi thanh tải hoàn thành, bạn vô cùng phấn khích và nhanh chóng bấm vào icon game.	game/script.rpy	53	"[what]"
onPcClick_deaf0f2f		Màn hình tối đen, xong bỗng chốc xung quanh trở nên hỗn loạn.	game/script.rpy	58	"[what]"
onPcClick_3b9c0ebf		Đầu của bạn cảm thấy choáng vô cùng.	game/script.rpy	59	"[what]"
onPcClick_1b7b4815	mc	****	game/script.rpy	61	mc "[what]"
onPcClick_595ae2e3		Trước khi hoàn toàn mất ý thức, bạn chỉ có thể kịp chửi thề một câu.	game/script.rpy	63	"[what]"
start_9bc447fd		Sau khi nhập tên và chọn giới tính, ấn enter để bắt đầu chơi	game/script.rpy	75	"[what]"
start_77542d23		Tên nhân vật không được để trống !	game/script.rpy	84	"[what]"
start_794f0c98		Chào [player_name], chào mừng bạn đến với trò chơi!	game/script.rpy	87	"[what]"
start_7022ccf2		Bạn đã chọn giới tính [gender].	game/script.rpy	88	"[what]"
start_168c1600	mc	(Dạo này chán quá, không biết gần đây có gì mới mẻ không. Tuy rằng hôm qua stream đến nửa đêm rất mệt, nhưng mà không làm việc thì tiền cũng không thể tự mọc chân chạy vào túi mình được.)	game/script.rpy	94	mc "[what]"
start_f5f5d859		Bạn chán chường vừa gục ra bàn vừa lướt diễn đàn bằng máy tính.	game/script.rpy	98	"[what]"
start_0352cde5		Lúc sắp ngủ gật tới nơi thì đột nhiên có thông báo từ hộp thư điện tử.	game/script.rpy	99	"[what]"
